===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,160,160,2.383022,8.538741,45,45.00002,20.61451,20.8074,0,2.498897E-05,10.24479,15.08501,0,-3.433228E-05,4.222728,8.100782,0,0,5.521933,9.61759,0,5.493164E-05,5.067274,11.02999,0,0,0,0,0,0,0,0,"",-1,14876128,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.839,160.8165,829.304,2.05994E-05,45.00005,160,7
2,160,160,2.092225,8.538741,45,44.99998,20.11808,20.8074,0,0,10.02308,15.08501,0,0,4.222728,8.100782,0,-2.641691E-05,5.489546,9.61759,0,5.493164E-05,4.645,11.02999,0,0,0,0,0,0,0,0,"",-1,14876136,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8386,160.816,829.3046,5.493154E-05,44.99995,160.0001,3
3,160,160,2.092225,8.530765,45,45.00002,20.11808,20.80894,0,2.498897E-05,10.02308,15.08502,0,0,4.222728,8.100502,0,2.641691E-05,5.489546,9.61852,0,5.493164E-05,4.869887,11.03013,0,0,0,0,0,0,0,0,"",-1,14876144,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8391,160.8162,829.304,5.493178E-05,45.00007,160.0001,7
4,160,160,2.383022,8.530765,45,45.00002,20.11808,20.80894,0,0,10.5838,15.08502,0,-6.866455E-05,3.378182,8.100502,0,-2.641691E-05,5.489546,9.61852,0,0,4.645,11.03013,0,0,0,0,0,0,0,0,"",-1,14876152,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8389,160.8161,829.3041,-6.866457E-05,45,159.9999,3
5,160,160,2.383022,8.530765,45,45,20.61451,20.80894,0,-4.997795E-05,9.681005,15.08502,0,0,3.870194,8.100502,0,0,5.521933,9.61852,0,0,5.067274,11.03013,0,0,0,0,0,0,0,0,"",-1,14876160,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8385,160.816,829.3046,1.590277E-15,44.99995,160,7
6,160,160,2.407717,8.530765,45,44.99998,20.60673,20.80894,0,0,10.38481,15.08502,0,0,3.870194,8.100502,0,-2.641691E-05,5.521933,9.61852,0,0,5.067274,11.03013,0,0,0,0,0,0,0,0,"",-1,14876168,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8386,160.816,829.3046,1.908333E-14,44.99995,160,3
7,160,160,2.383022,8.522846,45,45.00002,20.60673,20.81101,0,2.498897E-05,10.24479,15.08519,0,0,4.222728,8.098886,0,2.641691E-05,5.521933,9.61951,0,5.493164E-05,4.869887,11.03099,0,0,0,0,0,0,0,0,"",-1,14876176,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8391,160.8162,829.304,5.493178E-05,45.00007,160.0001,7
8,160,160,2.383022,8.522846,45,45,20.61451,20.81101,0,0,10.24479,15.08519,0,0,5.067274,8.098886,0,-2.641691E-05,5.489546,9.61951,0,-5.493164E-05,4.44892,11.03099,0,0,0,0,0,0,0,0,"",-1,14876184,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8387,160.8161,829.3044,-5.493159E-05,44.99997,159.9999,3
9,160,160,2.686411,8.522846,45,45,20.11808,20.81101,0,2.498897E-05,10.5838,15.08519,0,0,3.870194,8.098886,0,0,5.489546,9.61951,0,0,4.645,11.03099,0,0,0,0,0,0,0,0,"",-1,14876192,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8389,160.8161,829.3042,0,45.00003,160,7
10,160,160,2.686411,8.522846,45,44.99998,20.11808,20.81101,0,2.498897E-05,10.24479,15.08519,0,0,3.870194,8.098886,0,0,5.521933,9.61951,0,0,4.645,11.03099,0,0,0,0,0,0,0,0,"",-1,14876200,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8386,160.8163,829.3044,0,45,160,7
11,160,160,2.383022,8.51499,45,45,20.60673,20.81281,0,0,10.38481,15.08577,0,-3.433228E-05,3.378182,8.097984,0,-2.641691E-05,5.489546,9.620437,0,0,5.291063,11.03114,0,0,0,0,0,0,0,0,"",-1,14876208,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8387,160.8161,829.3044,-3.433226E-05,44.99997,160,3
12,160,160,2.383022,8.51499,45,45,20.11808,20.81281,0,2.498897E-05,10.38481,15.08577,0,0,4.222728,8.097984,0,0,5.13717,9.620437,0,0,4.869887,11.03114,0,0,0,0,0,0,0,0,"",-1,14876216,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8389,160.8161,829.3042,0,45.00003,160,7
13,160,160,2.978778,8.51499,45,45,20.60673,20.81281,0,2.498897E-05,10.5838,15.08577,0,0,3.378182,8.097984,0,-2.641691E-05,5.489546,9.620437,0,0,4.44892,11.03114,0,0,0,0,0,0,0,0,"",-1,14876224,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8387,160.8164,829.3043,-1.590277E-15,45,160,3
14,160,160,2.092225,8.51499,45,45,20.11808,20.81281,0,2.498897E-05,10.38481,15.08577,0,0,4.222728,8.097984,0,0,5.188975,9.620437,0,0,4.869887,11.03114,0,0,0,0,0,0,0,0,"",-1,14876232,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8389,160.8161,829.3042,0,45.00003,160,7
15,160,160,2.383022,8.507113,45,45,20.60673,20.8146,0,0,10.24479,15.08646,0,3.433228E-05,3.870194,8.096665,0,0,5.489546,9.620728,0,0,4.44892,11.03083,0,0,0,0,0,0,0,0,"",-1,14876240,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8387,160.8161,829.3043,3.433228E-05,45,160.0001,7
16,160,160,2.383022,8.507113,45,45.00002,20.11808,20.8146,0,-2.498897E-05,10.38481,15.08646,0,3.433228E-05,4.222728,8.096665,0,2.641691E-05,5.188975,9.620728,0,0,4.44892,11.03083,0,0,0,0,0,0,0,0,"",-1,14876248,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8388,160.8161,829.3043,3.433229E-05,45.00002,160.0001,7
17,160,160,2.383022,8.507113,45,45,20.60673,20.8146,0,-2.498897E-05,10.02308,15.08646,0,6.866455E-05,4.222728,8.096665,0,-2.641691E-05,5.489546,9.620728,0,0,4.869887,11.03083,0,0,0,0,0,0,0,0,"",-1,14876256,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8386,160.816,829.3044,6.866446E-05,44.99995,160.0001,3
18,160,160,2.407717,8.507113,45,45.00002,20.60673,20.8146,0,-2.498897E-05,10.24479,15.08646,0,0,5.067274,8.096665,0,2.641691E-05,5.489546,9.620728,0,0,5.067274,11.03083,0,0,0,0,0,0,0,0,"",-1,14876264,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8388,160.8161,829.3043,0,45.00002,160,7
19,160,160,2.407717,8.499222,45,45.00002,20.60673,20.81666,0,0,10.5838,15.08687,0,0,4.222728,8.097175,0,0,5.13717,9.621018,0,0,5.067274,11.03146,0,0,0,0,0,0,0,0,"",-1,14876272,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.839,160.8159,829.3041,0,45.00002,160,7
20,160,160,2.686411,8.499222,45,45.00002,20.11808,20.81666,0,2.498897E-05,10.5838,15.08687,0,0,4.702231,8.097175,0,2.641691E-05,5.521933,9.621018,0,0,4.44892,11.03146,0,0,0,0,0,0,0,0,"",-1,14876280,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.839,160.8165,829.304,0,45.00007,160,7
21,160,160,2.686411,8.499222,45,45.00002,20.11808,20.81666,0,-2.498897E-05,10.5838,15.08687,0,0,5.067274,8.097175,0,0,5.13717,9.621018,0,0,4.869887,11.03146,0,0,0,0,0,0,0,0,"",-1,14876288,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8388,160.8161,829.3043,0,45,160,7
22,160,160,2.383022,8.499222,45,45.00002,20.11808,20.81666,0,2.498897E-05,10.5838,15.08687,0,0,3.870194,8.097175,0,0,5.489546,9.621018,0,-5.493164E-05,4.869887,11.03146,0,0,0,0,0,0,0,0,"",-1,14876296,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8391,160.8162,829.304,-5.493173E-05,45.00005,159.9999,7
23,160,160,2.383022,8.491388,45,44.99998,20.61451,20.81818,0,-2.498897E-05,10.24479,15.08785,0,-3.433228E-05,3.870194,8.09747,0,0,5.489546,9.621614,0,0,4.645,11.03138,0,0,0,0,0,0,0,0,"",-1,14876304,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8385,160.816,829.3046,-3.433222E-05,44.99995,160,7
24,160,160,2.383022,8.491388,45,45.00002,20.61451,20.81818,0,0,10.24479,15.08785,0,3.433228E-05,3.870194,8.09747,0,-2.641691E-05,5.188975,9.621614,0,0,4.645,11.03138,0,0,0,0,0,0,0,0,"",-1,14876312,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8389,160.8161,829.3041,3.433229E-05,45,160.0001,3
25,160,160,2.383022,8.491388,45,45,20.11808,20.81818,0,2.498897E-05,10.5838,15.08785,0,-3.433228E-05,3.378182,8.09747,0,0,5.188975,9.621614,0,0,4.44892,11.03138,0,0,0,0,0,0,0,0,"",-1,14876320,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8389,160.8161,829.3042,-3.43323E-05,45.00003,160,7
26,160,160,2.383022,8.491388,45,45,20.11808,20.81818,0,2.498897E-05,10.38481,15.08785,0,3.433228E-05,3.870194,8.09747,0,0,5.13717,9.621614,0,0,4.44892,11.03138,0,0,0,0,0,0,0,0,"",-1,14876328,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.839,160.8159,829.3042,3.43323E-05,45.00003,160.0001,7
27,160,160,2.686411,8.483536,45,44.99998,19.62545,20.81944,0,0,10.38481,15.08853,0,-3.433228E-05,3.870194,8.095573,0,-2.641691E-05,5.489546,9.621632,0,-5.493164E-05,4.645,11.03057,0,0,0,0,0,0,0,0,"",-1,14876336,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8386,160.816,829.3046,-8.926378E-05,44.99995,159.9999,3
28,160,160,2.383022,8.483536,45,44.99998,20.61451,20.81944,0,0,10.5838,15.08853,0,-3.433228E-05,4.222728,8.095573,0,2.641691E-05,5.489546,9.621632,0,0,4.645,11.03057,0,0,0,0,0,0,0,0,"",-1,14876344,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8386,160.816,829.3045,-3.433226E-05,45,160,7
29,160,160,2.686411,8.483536,45,44.99998,20.60673,20.81944,0,2.498897E-05,10.5838,15.08853,0,0,5.067274,8.095573,0,-2.641691E-05,5.489546,9.621632,0,0,4.869887,11.03057,0,0,0,0,0,0,0,0,"",-1,14876352,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8386,160.8163,829.3044,1.590277E-15,44.99998,160,3
30,160,160,2.383022,8.483536,45,45,20.61451,20.81944,0,2.498897E-05,10.5838,15.08853,0,-3.433228E-05,4.222728,8.095573,0,2.641691E-05,5.521933,9.621632,0,0,4.028225,11.03057,0,0,0,0,0,0,0,0,"",-1,14876360,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8389,160.8161,829.3042,-3.433232E-05,45.00005,160,7
31,160,160,2.092225,8.475666,45,45,20.11808,20.82149,0,0,10.02308,15.08934,0,0,4.222728,8.096086,0,-2.641691E-05,5.489546,9.622554,0,0,4.44892,11.02956,0,0,0,0,0,0,0,0,"",-1,14876368,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8388,160.8158,829.3044,-1.590277E-15,44.99997,160,3
32,160,160,2.686411,8.475666,45,45,20.11808,20.82149,0,2.498897E-05,10.38481,15.08934,0,0,4.222728,8.096086,0,2.641691E-05,5.489546,9.622554,0,0,4.645,11.02956,0,0,0,0,0,0,0,0,"",-1,14876376,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8389,160.8161,829.3042,0,45.00005,160,7
33,160,160,2.686411,8.475666,45,45,19.62545,20.82149,0,0,10.38481,15.08934,0,3.433228E-05,4.222728,8.096086,0,0,5.13717,9.622554,0,0,4.869887,11.02956,0,0,0,0,0,0,0,0,"",-1,14876384,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8387,160.8161,829.3043,3.433228E-05,45,160.0001,7
34,160,160,2.383022,8.475666,45,45,20.60673,20.82149,0,-2.498897E-05,10.24479,15.08934,0,0,4.222728,8.096086,0,0,5.489546,9.622554,0,0,4.44892,11.02956,0,0,0,0,0,0,0,0,"",-1,14876392,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8385,160.8163,829.3044,0,44.99997,160,7
35,160,160,2.686411,8.467886,45,45,20.11808,20.82274,0,0,10.02308,15.08961,0,0,4.222728,8.095814,0,0,5.521933,9.623147,0,0,4.645,11.02922,0,0,0,0,0,0,0,0,"",-1,14876400,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8387,160.8161,829.3043,1.908333E-14,45,160,7
36,160,160,2.978778,8.467886,45,45,19.62545,20.82274,0,2.498897E-05,10.5838,15.08961,0,3.433228E-05,4.222728,8.095814,0,0,5.13717,9.623147,0,0,4.869887,11.02922,0,0,0,0,0,0,0,0,"",-1,14876408,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8389,160.8161,829.3042,3.43323E-05,45.00003,160.0001,7
37,160,160,2.383022,8.467886,45,44.99998,20.11808,20.82274,0,0,10.24479,15.08961,0,-3.433228E-05,3.378182,8.095814,0,-2.641691E-05,5.489546,9.623147,0,0,4.645,11.02922,0,0,0,0,0,0,0,0,"",-1,14876416,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8386,160.816,829.3046,-3.433223E-05,44.99995,160,3
38,160,160,2.383022,8.467886,45,44.99998,20.11808,20.82274,0,0,10.5838,15.08961,0,-3.433228E-05,3.378182,8.095814,0,0,5.489546,9.623147,0,0,4.44892,11.02922,0,0,0,0,0,0,0,0,"",-1,14876424,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8386,160.816,829.3045,-3.433225E-05,44.99998,160,7
39,160,160,3.281166,8.460172,45,44.99998,20.11808,20.82372,0,-2.498897E-05,10.24479,15.09033,0,0,3.378182,8.093423,0,0,5.489546,9.623708,0,0,5.067274,11.02937,0,0,0,0,0,0,0,0,"",-1,14876432,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8384,160.8162,829.3046,-1.590277E-15,44.99995,160,7
40,160,160,2.686411,8.460172,45,45,20.11808,20.82372,0,-2.498897E-05,10.38481,15.09033,0,0,4.222728,8.093423,0,2.641691E-05,5.489546,9.623708,0,-5.493164E-05,4.869887,11.02937,0,0,0,0,0,0,0,0,"",-1,14876440,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8387,160.8161,829.3044,-5.493164E-05,45,159.9999,7
41,160,160,2.383022,8.460172,45,45,20.61451,20.82372,0,2.498897E-05,10.02308,15.09033,0,-3.433228E-05,4.222728,8.093423,0,-2.641691E-05,5.13717,9.623708,0,-5.493164E-05,4.44892,11.02937,0,0,0,0,0,0,0,0,"",-1,14876448,-441.8387,160.8161,829.3043,1.590277E-15,45,160,7,-441.8388,160.8161,829.3043,-8.926393E-05,45,159.9999,3
