===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,45,45,3.830172,6.400501,90,90,29.43818,28.06046,0,-2.498897E-05,15.77175,20.39411,0,-3.433228E-05,4.702231,9.417409,0,0,4.869887,8.960181,0,0,4.869887,11.05684,0,0,0,0,0,0,0,0,"",-1,19288096,477.27,477.27,354.9714,0,90,45,7,477.27,477.27,354.9716,-53.95075,89.99995,-8.950753,7
2,45,45,3.62384,6.400501,90,89.99998,29.93015,28.06046,0,-2.498897E-05,15.57722,20.39411,0,-3.433228E-05,3.870194,9.417409,0,-2.641691E-05,4.796097,8.960181,0,-5.493164E-05,4.869887,11.05684,0,0,0,0,0,0,0,0,"",-1,19288104,477.27,477.27,354.9714,0,90,45,7,477.27,477.27,354.9719,-50.2295,89.99989,-5.229497,3
3,45,45,3.62384,6.395563,90,89.99998,29.43818,28.06763,0,0,15.57722,20.4001,0,0,5.067274,9.415952,0,2.641691E-05,4.758772,8.959863,0,0,4.645,11.05742,0,0,0,0,0,0,0,0,"",-1,19288112,477.27,477.27,354.9714,0,90,45,7,477.27,477.27,354.9717,180,90,-135,7
4,45,45,3.62384,6.395563,90,90,29.43818,28.06763,0,0,15.77175,20.4001,0,3.433228E-05,4.702231,9.415952,0,2.641691E-05,4.796097,8.959863,0,0,5.067274,11.05742,0,0,0,0,0,0,0,0,"",-1,19288120,477.27,477.27,354.9714,0,90,45,7,477.27,477.27,354.9714,127.5764,89.99995,172.5764,7
5,45,45,3.62384,6.395563,90,89.99998,29.44363,28.06763,0,0,15.77175,20.4001,0,0,5.067274,9.415952,0,0,4.796097,8.959863,0,-5.493164E-05,5.067274,11.05742,0,0,0,0,0,0,0,0,"",-1,19288128,477.27,477.27,354.9714,0,90,45,7,477.27,477.27,354.9717,-67.38013,89.99994,-22.38013,7
6,45,45,3.62384,6.395563,90,90,29.43818,28.06763,0,-2.498897E-05,15.77175,20.4001,0,0,4.702231,9.415952,0,0,4.796097,8.959863,0,0,5.067274,11.05742,0,0,0,0,0,0,0,0,"",-1,19288136,477.27,477.27,354.9714,0,90,45,7,477.27,477.27,354.9716,0,89.99998,45,7
7,45,45,3.62384,6.390594,90,89.99995,29.43818,28.07451,0,-2.498897E-05,15.77175,20.4064,0,0,5.067274,9.41554,0,0,5.119785,8.959833,0,0,4.645,11.05846,0,0,0,0,0,0,0,0,"",-1,19288144,477.27,477.27,354.9714,0,90,45,7,477.27,477.27,354.9721,0,89.99993,45,7
8,45,45,3.62384,6.390594,90,89.99998,29.43818,28.07451,0,2.498897E-05,15.77175,20.4064,0,-3.433228E-05,4.702231,9.41554,0,0,4.468915,8.959833,0,0,4.869887,11.05846,0,0,0,0,0,0,0,0,"",-1,19288152,477.27,477.27,354.9714,0,90,45,7,477.27,477.27,354.9716,-93.50156,89.99996,-48.50156,7
9,45,45,3.720492,6.390594,90,89.99998,29.43818,28.07451,0,-2.498897E-05,15.77175,20.4064,0,-3.433228E-05,5.067274,9.41554,0,-2.641691E-05,4.796097,8.959833,0,0,5.067274,11.05846,0,0,0,0,0,0,0,0,"",-1,19288160,477.27,477.27,354.9714,0,90,45,7,477.27,477.27,354.9719,-24.80229,89.99992,20.19771,3
10,45,45,3.62384,6.390594,90,90,29.44363,28.07451,0,-2.498897E-05,16.1339,20.4064,0,-6.866455E-05,3.870194,9.41554,0,0,4.468915,8.959833,0,0,4.869887,11.05846,0,0,0,0,0,0,0,0,"",-1,19288168,477.27,477.27,354.9714,0,90,45,7,477.27,477.27,354.9716,-70.00212,89.99992,-25.00212,7
