===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,-2.893866E-14,0,3.640126,7.520313,45,45,19.62545,20.84098,0,4.997795E-05,13.17734,19.44502,0,3.433228E-05,5.911819,9.690092,0,0,5.13717,9.171823,0,0,4.645,11.16321,0,0,0,0,0,0,0,0,"",-1,17333216,470.1986,-2.374855E-13,829.311,2.8249E-30,45,-2.893866E-14,7,470.1989,0,829.3108,3.433233E-05,45.00005,4.855321E-05,7
2,-2.893866E-14,0,3.387609,7.520313,45,45,19.62545,20.84098,0,4.997795E-05,13.17734,19.44502,0,3.433228E-05,5.911819,9.690092,0,2.641691E-05,5.13717,9.171823,0,0,5.291063,11.16321,0,0,0,0,0,0,0,0,"",-1,17333224,470.1986,-2.374855E-13,829.311,2.8249E-30,45,-2.893866E-14,7,470.1989,1.933722E-11,829.3108,3.433235E-05,45.00008,4.855323E-05,7
3,-2.893866E-14,0,3.387609,7.513953,45,45.00002,19.62545,20.84114,0,0,13.53777,19.4455,0,-3.433228E-05,5.067274,9.692254,0,-2.641691E-05,5.13717,9.172006,0,0,4.645,11.16357,0,0,0,0,0,0,0,0,"",-1,17333232,470.1986,-2.374855E-13,829.311,2.8249E-30,45,-2.893866E-14,7,470.1988,1.933722E-11,829.3109,-3.433229E-05,45,-4.855317E-05,3
4,-2.893866E-14,0,3.387609,7.513953,45,45,19.63363,20.84114,0,0,13.17734,19.4455,0,0,6.756364,9.692254,0,0,5.13717,9.172006,0,-5.493164E-05,4.869887,11.16357,0,0,0,0,0,0,0,0,"",-1,17333240,470.1986,-2.374855E-13,829.311,2.8249E-30,45,-2.893866E-14,7,470.1986,0,829.311,-5.493164E-05,45,-7.768507E-05,7
5,-2.893866E-14,0,3.317027,7.513953,45,45,19.62545,20.84114,0,0,13.17734,19.4455,0,3.433228E-05,5.538055,9.692254,0,0,5.13717,9.172006,0,0,4.869887,11.16357,0,0,0,0,0,0,0,0,"",-1,17333248,470.1986,-2.374855E-13,829.311,2.8249E-30,45,-2.893866E-14,7,470.1986,0,829.311,3.433228E-05,45,4.855317E-05,7
6,-2.893866E-14,0,3.490809,7.513953,45,45,19.62545,20.84114,0,2.498897E-05,12.98102,19.4455,0,0,4.702231,9.692254,0,0,4.796097,9.172006,0,0,4.44892,11.16357,0,0,0,0,0,0,0,0,"",-1,17333256,470.1986,-2.374855E-13,829.311,2.8249E-30,45,-2.893866E-14,7,470.1988,0,829.3109,0,45.00003,0,7
7,-2.893866E-14,0,3.640126,7.507604,45,44.99998,19.62545,20.84131,0,0,13.53777,19.44583,0,0,5.538055,9.694139,0,0,5.188975,9.172236,0,0,4.44892,11.16302,0,0,0,0,0,0,0,0,"",-1,17333264,470.1986,-2.374855E-13,829.311,2.8249E-30,45,-2.893866E-14,7,470.1985,0,829.3112,0,44.99998,0,7
8,-2.893866E-14,0,3.387609,7.507604,45,45.00002,19.63363,20.84131,0,-2.498897E-05,12.98102,19.44583,0,0,5.538055,9.694139,0,0,4.869887,9.172236,0,0,5.067274,11.16302,0,0,0,0,0,0,0,0,"",-1,17333272,470.1986,-2.374855E-13,829.311,2.8249E-30,45,-2.893866E-14,7,470.1987,0,829.311,0,45,0,7
9,-2.893866E-14,0,3.387609,7.507604,45,44.99998,19.13691,20.84131,0,2.498897E-05,13.17734,19.44583,0,3.433228E-05,5.911819,9.694139,0,0,5.13717,9.172236,0,0,5.067274,11.16302,0,0,0,0,0,0,0,0,"",-1,17333280,470.1986,-2.374855E-13,829.311,2.8249E-30,45,-2.893866E-14,7,470.1986,0,829.3111,3.433228E-05,45,4.855317E-05,7
10,-2.893866E-14,0,3.387609,7.507604,45,45.00002,19.63363,20.84131,0,-2.498897E-05,12.98102,19.44583,0,0,4.702231,9.694139,0,0,4.796097,9.172236,0,0,4.869887,11.16302,0,0,0,0,0,0,0,0,"",-1,17333288,470.1986,-2.374855E-13,829.311,2.8249E-30,45,-2.893866E-14,7,470.1987,0,829.311,0,45,0,7
