===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,49.99792,49.99792,0,2.41414,90.00041,90.00041,37.29266,31.35471,3.998236E-04,3.248566E-04,15.21236,17.98105,1.716614E-04,1.716614E-04,3.378182,5.857926,5.811721E-04,5.811721E-04,4.408657,6.194245,9.887696E-04,9.338379E-04,3.6079,6.477222,0,0,0,0,0,0,0,0,"",-1,11589560,433.8716,517.0299,354.9591,140.2039,89.99818,-169.7982,7,433.8716,517.0299,354.9596,140.0114,89.99828,-169.9907,7
2,49.99792,49.99792,.3439596,2.41414,90.00041,90.00043,37.78855,31.35471,3.998236E-04,3.248566E-04,15.21236,17.98105,1.716614E-04,1.373291E-04,3.378182,5.857926,5.811721E-04,6.07589E-04,4.408657,6.194245,9.887696E-04,9.338379E-04,3.800455,6.477222,0,0,0,0,0,0,0,0,"",-1,11589568,433.8716,517.0299,354.9591,140.2039,89.99818,-169.7982,7,433.8716,517.0299,354.9593,141.9247,89.99826,-168.0774,7
3,49.99792,49.99792,0,2.41414,90.00041,90.00037,36.79881,31.35471,3.998236E-04,3.498456E-04,15.57722,17.98105,1.716614E-04,2.059937E-04,3.378182,5.857926,5.811721E-04,6.07589E-04,4.408657,6.194245,9.887696E-04,9.338379E-04,3.378182,6.477222,0,0,0,0,0,0,0,0,"",-1,11589576,433.8716,517.0299,354.9591,140.2039,89.99818,-169.7982,7,433.8716,517.0299,354.9599,139.2673,89.99825,-170.7348,7
4,49.99792,49.99792,0,2.414066,90.00041,90.00043,36.79881,31.37301,3.998236E-04,3.748346E-04,15.21236,17.9915,1.716614E-04,2.059937E-04,4.222728,5.859828,5.811721E-04,5.811721E-04,4.408657,6.198501,9.887696E-04,9.338379E-04,3.378182,6.481193,0,0,0,0,0,0,0,0,"",-1,11589584,433.8716,517.0299,354.9591,140.2039,89.99818,-169.7982,7,433.8716,517.0299,354.959,140.6653,89.9982,-169.3368,7
5,49.99792,49.99792,0,2.414066,90.00041,90.00041,37.29266,31.37301,3.998236E-04,3.748346E-04,15.21236,17.9915,1.716614E-04,1.716614E-04,4.222728,5.859828,5.811721E-04,5.811721E-04,4.072251,6.198501,9.887696E-04,9.338379E-04,3.18809,6.481193,0,0,0,0,0,0,0,0,"",-1,11589592,433.8716,517.0299,354.9591,140.2039,89.99818,-169.7982,7,433.8716,517.0299,354.9593,141.0577,89.99824,-168.9444,7
6,49.99792,49.99792,0,2.414066,90.00041,90.00037,37.29266,31.37301,3.998236E-04,3.748346E-04,15.57722,17.9915,1.716614E-04,1.716614E-04,4.222728,5.859828,5.811721E-04,5.811721E-04,4.072251,6.198501,9.887696E-04,9.887696E-04,3.800455,6.481193,0,0,0,0,0,0,0,0,"",-1,11589600,433.8716,517.0299,354.9591,140.2039,89.99818,-169.7982,7,433.8716,517.0299,354.9598,138.7285,89.99824,-171.2736,7
7,49.99792,49.99792,0,2.414066,90.00041,90.00043,37.28836,31.37301,3.998236E-04,4.248125E-04,15.21236,17.9915,1.716614E-04,1.716614E-04,4.222728,5.859828,5.811721E-04,6.07589E-04,4.408657,6.198501,9.887696E-04,9.338379E-04,3.378182,6.481193,0,0,0,0,0,0,0,0,"",-1,11589608,433.8716,517.0299,354.9591,140.2039,89.99818,-169.7982,7,433.8716,517.0299,354.9586,143.0043,89.99816,-166.9978,7
8,49.99792,49.99792,0,2.413993,90.00041,90.00039,37.29266,31.39158,3.998236E-04,3.998236E-04,15.21236,18.00192,1.716614E-04,1.373291E-04,3.378182,5.863624,5.811721E-04,5.811721E-04,4.408657,6.201976,9.887696E-04,9.887696E-04,3.800455,6.485157,0,0,0,0,0,0,0,0,"",-1,11589616,433.8716,517.0299,354.9591,140.2039,89.99818,-169.7982,7,433.8716,517.0299,354.9594,140.5828,89.99823,-169.4193,7
9,49.99792,49.99792,0,2.413993,90.00041,90.00039,36.79881,31.39158,3.998236E-04,3.748346E-04,15.42191,18.00192,1.716614E-04,1.373291E-04,4.222728,5.863624,5.811721E-04,6.07589E-04,4.072251,6.201976,9.887696E-04,9.887696E-04,3.378182,6.485157,0,0,0,0,0,0,0,0,"",-1,11589624,433.8716,517.0299,354.9591,140.2039,89.99818,-169.7982,7,433.8716,517.0299,354.9595,140.612,89.99822,-169.39,7
10,49.99792,49.99792,0,2.413993,90.00041,90.00041,36.79881,31.39158,3.998236E-04,3.748346E-04,15.21236,18.00192,1.716614E-04,1.716614E-04,3.870194,5.863624,5.811721E-04,5.811721E-04,4.408657,6.201976,9.887696E-04,9.887696E-04,3.378182,6.485157,0,0,0,0,0,0,0,0,"",-1,11589632,433.8716,517.0299,354.9591,140.2039,89.99818,-169.7982,7,433.8716,517.0299,354.9593,139.693,89.99821,-170.3091,7
