===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,90,90,2.938792,11.10711,90,89.99998,29.93015,31.30538,4.960225E-18,0,15.57722,22.48618,0,0,3.045052,16.64625,0,2.641691E-05,5.489546,16.32756,0,0,4.44892,20.70665,0,0,0,0,0,0,0,0,"",-1,579480,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9579,180,90,-90,7
2,90,90,2.938792,11.10711,90,90,29.43818,31.30538,4.960225E-18,0,15.42191,22.48618,0,3.433228E-05,5.067274,16.64625,0,0,5.13717,16.32756,0,0,5.067274,20.70665,0,0,0,0,0,0,0,0,"",-1,579488,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9576,90,89.99997,180,7
3,90,90,2.938792,11.10711,90,90,29.44363,31.30538,4.960225E-18,0,15.42191,22.48618,0,6.866455E-05,4.222728,16.64625,0,0,5.119785,16.32756,0,0,4.44892,20.70665,0,0,0,0,0,0,0,0,"",-1,579496,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9576,90,89.99993,180,7
4,90,90,2.815431,11.10711,90,90,29.93015,31.30538,4.960225E-18,0,15.40108,22.48618,0,0,4.222728,16.64625,0,0,5.13717,16.32756,0,0,4.645,20.70665,0,0,0,0,0,0,0,0,"",-1,579504,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9576,0,90,90,7
5,90,90,3.095637,11.10678,90,89.99998,29.43818,31.3058,4.960225E-18,2.498897E-05,15.77175,22.48722,0,-6.866455E-05,4.222728,16.64588,0,0,5.13717,16.32724,0,0,4.869887,20.70621,0,0,0,0,0,0,0,0,"",-1,579512,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9577,-91.75242,89.99993,-1.752415,7
6,90,90,2.938792,11.10678,90,90.00002,29.93015,31.3058,4.960225E-18,-2.498897E-05,15.21236,22.48722,0,3.433228E-05,4.222728,16.64588,0,0,5.489546,16.32724,0,0,5.067274,20.70621,0,0,0,0,0,0,0,0,"",-1,579520,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9575,86.49844,89.99996,176.4984,7
7,90,90,2.938792,11.10678,90,90,29.93015,31.3058,4.960225E-18,-4.997795E-05,15.21236,22.48722,0,0,3.870194,16.64588,0,0,5.13717,16.32724,0,0,4.869887,20.70621,0,0,0,0,0,0,0,0,"",-1,579528,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9579,0,89.99995,90,7
8,90,90,2.938792,11.10678,90,90,29.93015,31.3058,4.960225E-18,0,15.42191,22.48722,0,-3.433228E-05,4.222728,16.64588,0,0,5.13717,16.32724,0,5.493164E-05,5.067274,20.70621,0,0,0,0,0,0,0,0,"",-1,579536,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9576,90,89.99998,180,7
9,90,90,2.938792,11.10646,90,89.99998,29.44363,31.30674,4.960225E-18,0,15.57722,22.48781,0,3.433228E-05,4.222728,16.64548,0,2.641691E-05,5.489546,16.32693,0,0,4.869887,20.70579,0,0,0,0,0,0,0,0,"",-1,579544,-2.583957E-13,674.9111,354.9576,180,90,-90,7,-1.929465E-11,674.9111,354.9579,95.86835,89.99996,-174.1317,7
10,90,90,3.152442,11.10646,90,90,29.93015,31.30674,4.960225E-18,0,14.86015,22.48781,0,3.433228E-05,5.067274,16.64548,0,0,5.489546,16.32693,0,5.493164E-05,4.869887,20.70579,0,0,0,0,0,0,0,0,"",-1,579552,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9576,90,89.99991,180,7
11,90,90,3.095637,11.10646,90,90.00002,29.43818,31.30674,4.960225E-18,2.498897E-05,15.57722,22.48781,0,0,4.222728,16.64548,0,0,5.13717,16.32693,0,0,4.44892,20.70579,0,0,0,0,0,0,0,0,"",-1,579560,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9572,180,89.99995,-90,7
12,90,90,2.938792,11.10646,90,89.99998,29.44363,31.30674,4.960225E-18,-2.498897E-05,15.77175,22.48781,0,0,4.702231,16.64548,0,0,5.13717,16.32693,0,-5.493164E-05,4.44892,20.70579,0,0,0,0,0,0,0,0,"",-1,579568,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9581,-48.92534,89.99992,41.07466,7
13,90,90,3.05718,11.10614,90,89.99998,29.43818,31.30716,4.960225E-18,2.498897E-05,15.21236,22.48839,0,3.433228E-05,4.222728,16.64512,0,-2.641691E-05,5.13717,16.32662,0,-5.493164E-05,4.44892,20.70534,0,0,0,0,0,0,0,0,"",-1,579576,-2.583957E-13,674.9111,354.9576,180,90,-90,7,1.93773E-11,674.9111,354.9578,-40.26955,89.99997,49.73045,3
14,90,90,3.152442,11.10614,90,90.00002,29.93015,31.30716,4.960225E-18,7.496692E-05,15.57722,22.48839,0,0,3.870194,16.64512,0,0,5.119785,16.32662,0,0,4.869887,20.70534,0,0,0,0,0,0,0,0,"",-1,579584,-2.583957E-13,674.9111,354.9576,180,90,-90,7,4.132502E-14,674.9111,354.9569,180,89.9999,-90,7
