===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,90,90,2.938792,12.30458,90,89.99998,29.93015,23.67534,-1.157919E-13,2.498897E-05,16.69125,20.23833,0,0,4.222728,18.3972,0,0,4.796097,17.91235,0,0,5.291063,22.80641,0,0,0,0,0,0,0,0,"",-1,459424,1.911855E-13,674.9114,354.9615,0,90,90,7,4.132504E-14,674.9114,354.9616,180,90,-90,7
2,90,90,3.439596,12.30458,90,89.99998,29.93015,23.67534,-1.157919E-13,0,16.89196,20.23833,0,3.433228E-05,3.870194,18.3972,0,-2.641691E-05,4.796097,17.91235,0,5.493164E-05,4.869887,22.80641,0,0,0,0,0,0,0,0,"",-1,459432,1.911855E-13,674.9114,354.9615,0,90,90,7,1.937757E-11,674.9114,354.9618,61.08585,89.9999,151.0858,3
3,90,90,3.095637,12.30458,90,90,29.93015,23.67534,-1.157919E-13,0,16.69125,20.23833,0,3.433228E-05,4.222728,18.3972,0,-2.641691E-05,4.796097,17.91235,0,-5.493164E-05,4.869887,22.80641,0,0,0,0,0,0,0,0,"",-1,459440,1.911855E-13,674.9114,354.9615,0,90,90,7,1.937757E-11,674.9114,354.9615,-37.94637,89.99997,52.05363,3
4,90,90,3.281166,12.30422,90,90,29.43818,23.69388,-1.157919E-13,-2.498897E-05,16.69125,20.24834,0,-3.433228E-05,3.378182,18.39673,0,0,4.796097,17.91194,0,0,4.869887,22.8059,0,0,0,0,0,0,0,0,"",-1,459448,1.911855E-13,674.9114,354.9615,0,90,90,7,4.132504E-14,674.9114,354.9616,-53.95075,89.99995,36.04925,7
5,90,90,3.281166,12.30422,90,89.99998,29.93015,23.69388,-1.157919E-13,2.498897E-05,16.69125,20.24834,0,0,4.702231,18.39673,0,0,4.796097,17.91194,0,0,4.869887,22.8059,0,0,0,0,0,0,0,0,"",-1,459456,1.911855E-13,674.9114,354.9615,0,90,90,7,4.132504E-14,674.9114,354.9616,180,90,-90,7
6,90,90,3.281166,12.30422,90,90,29.93015,23.69388,-1.157919E-13,-2.498897E-05,16.33163,20.24834,0,0,5.067274,18.39673,0,0,4.869887,17.91194,0,0,4.869887,22.8059,0,0,0,0,0,0,0,0,"",-1,459464,1.911855E-13,674.9114,354.9615,0,90,90,7,4.132504E-14,674.9114,354.9616,0,89.99998,90,7
7,90,90,3.439596,12.30422,90,90,29.93015,23.69388,-1.157919E-13,2.498897E-05,16.69125,20.24834,0,0,4.222728,18.39673,0,0,5.13717,17.91194,0,-5.493164E-05,4.869887,22.8059,0,0,0,0,0,0,0,0,"",-1,459472,1.911855E-13,674.9114,354.9615,0,90,90,7,4.132504E-14,674.9114,354.9613,-114.4613,89.99994,-24.46128,7
8,90,90,3.095637,12.30387,90,89.99998,29.93015,23.71271,-1.157919E-13,2.498897E-05,16.33163,20.25752,0,-6.866455E-05,3.378182,18.39629,0,-2.641691E-05,5.13717,17.91154,0,0,4.869887,22.80539,0,0,0,0,0,0,0,0,"",-1,459480,1.911855E-13,674.9114,354.9615,0,90,90,7,-3.863116E-11,674.9114,354.9616,-70.49946,89.99992,19.50054,3
9,90,90,3.281166,12.30387,90,90.00005,29.43818,23.71271,-1.157919E-13,0,16.33163,20.25752,0,0,3.870194,18.39629,0,0,4.796097,17.91154,0,0,5.067274,22.80539,0,0,0,0,0,0,0,0,"",-1,459488,1.911855E-13,674.9114,354.9615,0,90,90,7,4.132504E-14,674.9114,354.9609,180,89.99995,-90,7
10,90,90,3.281166,12.30387,90,90,29.93015,23.71271,-1.157919E-13,0,16.33163,20.25752,0,-3.433228E-05,3.378182,18.39629,0,0,4.796097,17.91154,0,-5.493164E-05,4.869887,22.80539,0,0,0,0,0,0,0,0,"",-1,459496,1.911855E-13,674.9114,354.9615,0,90,90,7,4.132504E-14,674.9114,354.9615,-90,89.99991,2.251828E-09,7
