===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,89.99736,89.99736,.3439596,3.243103,90.00057,90.00057,36.79881,21.24433,3.498456E-04,3.748346E-04,15.57722,12.36868,1.373291E-04,1.373291E-04,3.378182,3.360095,9.774258E-04,9.774258E-04,2.955909,3.293082,9.887696E-04,9.887696E-04,3.378182,4.106116,0,0,0,0,0,0,0,0,"",-1,14438464,3.114221E-02,674.9611,354.9606,149.3385,89.9978,-120.6641,7,3.114221E-02,674.9611,354.9605,149.666,89.99777,-120.3366,7
2,89.99736,89.99736,.3439596,3.243103,90.00057,90.00057,36.79881,21.24433,3.498456E-04,3.248566E-04,15.21236,12.36868,1.373291E-04,6.866455E-05,3.045052,3.360095,9.774258E-04,9.774258E-04,2.955909,3.293082,9.887696E-04,9.887696E-04,3.378182,4.106116,0,0,0,0,0,0,0,0,"",-1,14438472,3.114221E-02,674.9611,354.9606,149.3385,89.9978,-120.6641,7,3.114221E-02,674.9611,354.9608,150.5718,89.99785,-119.4308,7
3,89.99736,89.99736,0,3.243103,90.00057,90.00057,36.79881,21.24433,3.498456E-04,3.248566E-04,15.42191,12.36868,1.373291E-04,1.716614E-04,3.378182,3.360095,9.774258E-04,9.774258E-04,3.298056,3.293082,9.887696E-04,9.887696E-04,3.378182,4.106116,0,0,0,0,0,0,0,0,"",-1,14438480,3.114221E-02,674.9611,354.9606,149.3385,89.9978,-120.6641,7,3.114221E-02,674.9611,354.9608,148.2398,89.9978,-121.7629,7
4,89.99736,89.99736,.3439596,3.243004,90.00057,90.00055,36.79881,21.29429,3.498456E-04,2.998677E-04,15.57722,12.39806,1.373291E-04,2.059937E-04,3.870194,3.368854,9.774258E-04,9.774258E-04,3.351686,3.293308,9.887696E-04,9.887696E-04,3.18809,4.106468,0,0,0,0,0,0,0,0,"",-1,14438488,3.114221E-02,674.9611,354.9606,149.3385,89.9978,-120.6641,7,3.114221E-02,674.9611,354.9612,146.8118,89.99782,-123.1908,7
5,89.99736,89.99736,.3439596,3.243004,90.00057,90.00055,36.79881,21.29429,3.498456E-04,3.498456E-04,15.57722,12.39806,1.373291E-04,1.373291E-04,2.533637,3.368854,9.774258E-04,9.774258E-04,3.351686,3.293308,9.887696E-04,9.887696E-04,3.800455,4.106468,0,0,0,0,0,0,0,0,"",-1,14438496,3.114221E-02,674.9611,354.9606,149.3385,89.9978,-120.6641,7,3.114221E-02,674.9611,354.9609,149.033,89.99781,-120.9697,7
6,89.99736,89.99736,.3439596,3.243004,90.00057,90.00057,36.80753,21.29429,3.498456E-04,3.248566E-04,15.77175,12.39806,1.373291E-04,2.403259E-04,3.045052,3.368854,9.774258E-04,9.774258E-04,2.955909,3.293308,9.887696E-04,9.887696E-04,3.6079,4.106468,0,0,0,0,0,0,0,0,"",-1,14438504,3.114221E-02,674.9611,354.9606,149.3385,89.9978,-120.6641,7,3.114221E-02,674.9611,354.9608,146.7473,89.99776,-123.2554,7
7,89.99736,89.99736,.3439596,3.243004,90.00057,90.0006,36.79881,21.29429,3.498456E-04,2.998677E-04,15.77175,12.39806,1.373291E-04,1.716614E-04,3.045052,3.368854,9.774258E-04,9.774258E-04,3.351686,3.293308,9.887696E-04,1.043701E-03,3.800455,4.106468,0,0,0,0,0,0,0,0,"",-1,14438512,3.114221E-02,674.9611,354.9606,149.3385,89.9978,-120.6641,7,3.114221E-02,674.9611,354.9607,147.0125,89.99776,-122.9902,7
8,89.99736,89.99736,.3439596,3.242906,90.00057,90.0006,36.79881,21.34405,3.498456E-04,2.998677E-04,15.57722,12.42853,1.373291E-04,1.716614E-04,4.222728,3.376169,9.774258E-04,1.003843E-03,3.298056,3.293554,9.887696E-04,9.887696E-04,3.378182,4.106913,0,0,0,0,0,0,0,0,"",-1,14438520,3.114221E-02,674.9611,354.9606,149.3385,89.9978,-120.6641,7,3.114221E-02,674.9611,354.9607,148.5693,89.99777,-121.4333,7
9,89.99736,89.99736,.3439596,3.242906,90.00057,90.00055,36.79881,21.34405,3.498456E-04,2.748787E-04,15.21236,12.42853,1.373291E-04,1.716614E-04,4.222728,3.376169,9.774258E-04,9.774258E-04,3.045052,3.293554,9.887696E-04,9.887696E-04,3.378182,4.106913,0,0,0,0,0,0,0,0,"",-1,14438528,3.114221E-02,674.9611,354.9606,149.3385,89.9978,-120.6641,7,3.114221E-02,674.9611,354.9614,147.2143,89.99786,-122.7884,7
10,89.99736,89.99732,.3439596,3.242906,90.00057,90.00057,36.80753,21.34405,3.498456E-04,3.248566E-04,15.57722,12.42853,1.373291E-04,6.866455E-05,3.045052,3.376169,9.774258E-04,9.774258E-04,3.351686,3.293554,9.887696E-04,1.043701E-03,3.378182,4.106913,0,0,0,0,0,0,0,0,"",-1,14438536,3.114221E-02,674.9611,354.9606,149.3385,89.9978,-120.6641,7,3.154665E-02,674.9611,354.9608,149.3141,89.99782,-120.6886,7
