===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,2.197266E-03,2.197266E-03,0,1.507676,2.288818E-05,0,1.498919,3.41027,0,0,.566538,1.733876,8.583069E-04,8.926392E-04,4.222728,2.755337,8.453412E-04,8.453412E-04,2.568585,2.130931,8.789062E-04,8.789062E-04,3.6079,3.113374,0,0,0,0,0,0,0,0,"",-1,10358392,-9.998697,-3.834298E-04,1019.935,1.366134E-08,8.682294E-04,3.934479E-03,0,-9.998967,-3.834395E-04,1019.935,1.296737E-08,8.453412E-04,3.968811E-03,0
2,2.197266E-03,2.197266E-03,0,1.507676,2.288818E-05,2.288818E-05,1.498919,3.41027,0,0,0,1.733876,8.583069E-04,8.926392E-04,4.222728,2.755337,8.453412E-04,8.189243E-04,2.955909,2.130931,8.789062E-04,9.338379E-04,3.800455,3.113374,0,0,0,0,0,0,0,0,"",-1,10358400,-9.998697,-3.834298E-04,1019.935,1.366134E-08,8.682294E-04,3.934479E-03,0,-9.99873,-3.834309E-04,1019.935,1.407691E-08,8.418125E-04,4.023743E-03,0
3,2.197266E-03,2.197266E-03,.3439596,1.507676,2.288818E-05,2.288818E-05,1.498919,3.41027,0,0,.566538,1.733876,8.583069E-04,8.926392E-04,4.222728,2.755337,8.453412E-04,8.453412E-04,2.925592,2.130931,8.789062E-04,9.338379E-04,3.800455,3.113374,0,0,0,0,0,0,0,0,"",-1,10358408,-9.998697,-3.834298E-04,1019.935,1.366134E-08,8.682294E-04,3.934479E-03,0,-9.998697,-3.834292E-04,1019.935,1.450746E-08,8.682294E-04,4.023743E-03,0
4,2.197266E-03,2.197266E-03,0,1.507676,2.288818E-05,2.288818E-05,1.962545,3.41027,0,0,.566538,1.733876,8.583069E-04,8.239746E-04,3.378182,2.755337,8.453412E-04,8.453412E-04,2.925592,2.130931,8.789062E-04,9.338379E-04,3.800455,3.113374,0,0,0,0,0,0,0,0,"",-1,10358416,-9.998697,-3.834298E-04,1019.935,1.366134E-08,8.682294E-04,3.934479E-03,0,-9.998697,-3.834304E-04,1019.935,1.448003E-08,8.682294E-04,3.955078E-03,0
5,2.197266E-03,2.197266E-03,0,1.50763,2.288818E-05,2.288818E-05,1.962545,3.410198,0,0,0,1.733827,8.583069E-04,8.239746E-04,4.222728,2.772836,8.453412E-04,8.189243E-04,2.637093,2.141443,8.789062E-04,8.239746E-04,3.800455,3.134935,0,0,0,0,0,0,0,0,"",-1,10358424,-9.998697,-3.834298E-04,1019.935,1.366134E-08,8.682294E-04,3.934479E-03,0,-9.99873,-3.834321E-04,1019.935,1.243532E-08,8.418125E-04,3.845215E-03,0
6,2.197266E-03,2.197266E-03,0,1.50763,2.288818E-05,4.577637E-05,2.042682,3.410198,0,2.498897E-05,0,1.733827,8.583069E-04,8.926392E-04,4.222728,2.772836,8.453412E-04,8.717582E-04,2.955909,2.141443,8.789062E-04,9.338379E-04,3.378182,3.134935,0,0,0,0,0,0,0,0,"",-1,10358432,-9.998697,-3.834298E-04,1019.935,1.366134E-08,8.682294E-04,3.934479E-03,0,-9.998235,-3.834109E-04,1019.935,1.646425E-08,9.425235E-04,4.023743E-03,0
7,2.197266E-03,2.197266E-03,0,1.50763,2.288818E-05,4.577637E-05,1.962545,3.410198,0,0,0,1.733827,8.583069E-04,8.926392E-04,4.222728,2.772836,8.453412E-04,8.453412E-04,2.955909,2.141443,8.789062E-04,8.789062E-04,3.378182,3.134935,0,0,0,0,0,0,0,0,"",-1,10358440,-9.998697,-3.834298E-04,1019.935,1.366134E-08,8.682294E-04,3.934479E-03,0,-9.998428,-3.834188E-04,1019.935,1.438275E-08,8.911176E-04,3.968811E-03,0
8,2.197266E-03,2.197266E-03,.3439596,1.50763,2.288818E-05,2.288818E-05,1.498919,3.410198,0,0,0,1.733827,8.583069E-04,8.239746E-04,4.222728,2.772836,8.453412E-04,8.189243E-04,2.568585,2.141443,8.789062E-04,8.789062E-04,3.800455,3.134935,0,0,0,0,0,0,0,0,"",-1,10358448,-9.998697,-3.834298E-04,1019.935,1.366134E-08,8.682294E-04,3.934479E-03,0,-9.99873,-3.834321E-04,1019.935,1.32424E-08,8.418125E-04,3.900147E-03,0
9,2.197266E-03,2.197266E-03,.3439596,1.507584,2.288818E-05,4.577637E-05,1.962545,3.410131,0,0,.566538,1.733775,8.583069E-04,7.896423E-04,3.045052,2.789371,8.453412E-04,8.717582E-04,2.955909,2.151865,8.789062E-04,8.789062E-04,3.378182,3.152416,0,0,0,0,0,0,0,0,"",-1,10358456,-9.998697,-3.834298E-04,1019.935,1.366134E-08,8.682294E-04,3.934479E-03,0,-9.998396,-3.83419E-04,1019.935,1.470569E-08,9.175345E-04,3.865814E-03,0
10,2.197266E-03,2.197266E-03,.3439596,1.507584,2.288818E-05,2.288818E-05,1.962545,3.410131,0,0,.566538,1.733775,8.583069E-04,8.926392E-04,3.045052,2.789371,8.453412E-04,8.453412E-04,2.955909,2.151865,8.789062E-04,8.789062E-04,3.800455,3.152416,0,0,0,0,0,0,0,0,"",-1,10358464,-9.998697,-3.834298E-04,1019.935,1.366134E-08,8.682294E-04,3.934479E-03,0,-9.998697,-3.834292E-04,1019.935,1.367506E-08,8.682294E-04,3.968811E-03,0
