===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,-2.99023E-15,0,2.815431,2.539912,-5.980459E-15,0,5.0355,5.737482,2.265549E-15,0,1.133076,3.144314,0,0,6.756364,11.13434,0,0,4.758772,8.029325,0,5.493164E-05,4.44892,11.28322,0,0,0,0,0,0,0,0,"",-1,15867848,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10,0,1019.938,0,0,5.493164E-05,4
2,-2.99023E-15,0,3.095637,2.539912,-5.980459E-15,0,4.938964,5.737482,2.265549E-15,-2.498897E-05,.566538,3.144314,0,-3.433228E-05,5.911819,11.13434,0,0,4.408657,8.029325,0,-5.493164E-05,4.869887,11.28322,0,0,0,0,0,0,0,0,"",-1,15867856,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00016,0,1019.938,3.893155E-11,-2.498897E-05,-8.926391E-05,4
3,-2.99023E-15,0,3.095637,2.539618,-5.980459E-15,-2.288818E-05,5.0355,5.737006,2.265549E-15,0,0,3.144225,0,3.433228E-05,5.538055,11.13479,0,-2.641691E-05,4.408657,8.029755,0,0,4.869887,11.28516,0,0,0,0,0,0,0,0,"",-1,15867864,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.0003,-1.93375E-11,1019.938,-1.371486E-11,-4.93051E-05,3.433228E-05,4
4,-2.99023E-15,0,2.938792,2.539618,-5.980459E-15,2.288818E-05,5.0355,5.737006,2.265549E-15,-4.997795E-05,.566538,3.144225,0,3.433228E-05,5.911819,11.13479,0,0,4.758772,8.029755,0,0,5.067274,11.28516,0,0,0,0,0,0,0,0,"",-1,15867872,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00005,0,1019.938,-1.623249E-11,-2.708976E-05,3.433228E-05,4
5,-2.99023E-15,0,3.152442,2.539618,-5.980459E-15,-2.288818E-05,4.938964,5.737006,2.265549E-15,2.498897E-05,.566538,3.144225,0,0,5.911819,11.13479,0,2.641691E-05,4.408657,8.029755,0,0,4.869887,11.28516,0,0,0,0,0,0,0,0,"",-1,15867880,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00008,0,1019.938,0,2.85177E-05,0,0
6,-2.99023E-15,0,2.938792,2.539618,-5.980459E-15,0,4.938964,5.737006,2.265549E-15,2.498897E-05,.566538,3.144225,0,3.433228E-05,5.911819,11.13479,0,-5.283383E-05,4.408657,8.029755,0,5.493164E-05,4.645,11.28516,0,0,0,0,0,0,0,0,"",-1,15867888,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999903,-3.867499E-11,1019.938,-1.172225E-11,-2.784486E-05,8.926391E-05,4
7,-2.99023E-15,0,2.938792,2.539334,-5.980459E-15,0,4.938964,5.73617,2.265549E-15,0,.566538,3.144136,0,6.866455E-05,5.538055,11.13445,0,0,4.758772,8.030507,0,0,4.869887,11.2872,0,0,0,0,0,0,0,0,"",-1,15867896,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10,0,1019.938,0,0,6.866455E-05,4
8,-2.99023E-15,0,2.938792,2.539334,-5.980459E-15,0,5.0355,5.73617,2.265549E-15,2.498897E-05,.566538,3.144136,0,3.433228E-05,5.911819,11.13445,0,0,4.758772,8.030507,0,-1.098633E-04,4.44892,11.2872,0,0,0,0,0,0,0,0,"",-1,15867904,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999839,0,1019.938,-3.294208E-11,2.498897E-05,-7.5531E-05,4
9,-2.99023E-15,0,2.815431,2.539334,-5.980459E-15,0,4.938964,5.73617,2.265549E-15,-2.498897E-05,.566538,3.144136,0,0,5.911819,11.13445,0,0,4.408657,8.030507,0,-5.493164E-05,4.869887,11.2872,0,0,0,0,0,0,0,0,"",-1,15867912,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00016,0,1019.938,2.395788E-11,-2.498897E-05,-5.493164E-05,4
10,-2.99023E-15,0,2.938792,2.539334,-5.980459E-15,0,5.0355,5.73617,2.265549E-15,0,.566538,3.144136,0,0,6.756364,11.13445,0,-2.641691E-05,4.408657,8.030507,0,5.493164E-05,4.869887,11.2872,0,0,0,0,0,0,0,0,"",-1,15867920,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00003,0,1019.938,-2.53269E-11,-2.641691E-05,5.493164E-05,4
11,-2.99023E-15,0,3.095637,2.538984,-5.980459E-15,2.288818E-05,4.938964,5.735382,2.265549E-15,2.498897E-05,.566538,3.144048,0,0,5.911819,11.13525,0,0,4.408657,8.030934,0,5.493164E-05,4.869887,11.28914,0,0,0,0,0,0,0,0,"",-1,15867928,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999569,0,1019.938,4.590165E-11,4.787715E-05,5.493164E-05,4
12,-2.99023E-15,0,2.938792,2.538984,-5.980459E-15,0,4.938964,5.735382,2.265549E-15,4.997795E-05,.566538,3.144048,0,3.433228E-05,5.538055,11.13525,0,0,4.408657,8.030934,0,0,4.44892,11.28914,0,0,0,0,0,0,0,0,"",-1,15867936,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999678,0,1019.938,2.994735E-11,4.997795E-05,3.433228E-05,4
13,-2.99023E-15,0,2.938792,2.538984,-5.980459E-15,0,5.0355,5.735382,2.265549E-15,-4.997795E-05,.566538,3.144048,0,0,5.911819,11.13525,0,-2.641691E-05,4.758772,8.030934,0,-5.493164E-05,5.067274,11.28914,0,0,0,0,0,0,0,0,"",-1,15867944,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00035,0,1019.938,7.324265E-11,-7.639486E-05,-5.493164E-05,4
14,-2.99023E-15,0,3.095637,2.538984,-5.980459E-15,-2.288818E-05,5.0355,5.735382,2.265549E-15,0,.566538,3.144048,0,0,5.067274,11.13525,0,0,4.408657,8.030934,0,0,4.44892,11.28914,0,0,0,0,0,0,0,0,"",-1,15867952,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00027,0,1019.938,0,-2.288818E-05,0,4
15,-2.99023E-15,0,2.938792,2.53868,-5.980459E-15,-2.288818E-05,5.0355,5.734643,2.265549E-15,0,.566538,3.143959,0,-3.433228E-05,5.067274,11.13344,0,-2.641691E-05,4.072251,8.031054,0,0,4.869887,11.29103,0,0,0,0,0,0,0,0,"",-1,15867960,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.0003,1.93375E-11,1019.938,1.371486E-11,-4.93051E-05,-3.433228E-05,4
16,-2.99023E-15,0,3.152442,2.53868,-5.980459E-15,-2.288818E-05,4.938964,5.734643,2.265549E-15,2.498897E-05,.566538,3.143959,0,0,6.376179,11.13344,0,0,4.408657,8.031054,0,0,4.869887,11.29103,0,0,0,0,0,0,0,0,"",-1,15867968,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00011,0,1019.938,0,2.100789E-06,0,4
17,-2.99023E-15,0,2.938792,2.53868,-5.980459E-15,2.288818E-05,4.938964,5.734643,2.265549E-15,2.498897E-05,.566538,3.143959,0,0,5.538055,11.13344,0,-2.641691E-05,4.408657,8.031054,0,0,4.869887,11.29103,0,0,0,0,0,0,0,0,"",-1,15867976,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999601,0,1019.938,0,2.146024E-05,0,4
18,-2.99023E-15,0,3.095637,2.53868,-5.980459E-15,2.288818E-05,4.424803,5.734643,2.265549E-15,-2.498897E-05,.566538,3.143959,0,-3.433228E-05,5.911819,11.13344,0,0,4.468915,8.031054,0,5.493164E-05,4.869887,11.29103,0,0,0,0,0,0,0,0,"",-1,15867984,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999891,0,1019.938,-7.552897E-13,-2.100789E-06,2.059937E-05,4
19,-2.99023E-15,0,2.938792,2.538455,-5.980459E-15,0,4.938964,5.733522,2.265549E-15,2.498897E-05,.566538,3.14387,0,-3.433228E-05,5.911819,11.13353,0,2.641691E-05,4.758772,8.031535,0,-5.493164E-05,4.869887,11.29308,0,0,0,0,0,0,0,0,"",-1,15867992,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999806,-1.93375E-11,1019.938,-6.425845E-11,5.140588E-05,-8.926391E-05,0
20,-2.99023E-15,0,3.095637,2.538455,-5.980459E-15,2.288818E-05,5.0355,5.733522,2.265549E-15,-4.997795E-05,.566538,3.14387,0,-3.433228E-05,5.911819,11.13353,0,0,4.408657,8.031535,0,0,5.291063,11.29308,0,0,0,0,0,0,0,0,"",-1,15868000,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00005,0,1019.938,1.623249E-11,-2.708976E-05,-3.433228E-05,4
21,-2.99023E-15,0,2.938792,2.538455,-5.980459E-15,2.288818E-05,5.0355,5.733522,2.265549E-15,0,0,3.14387,0,0,5.911819,11.13353,0,-2.641691E-05,4.468915,8.031535,0,0,4.869887,11.29308,0,0,0,0,0,0,0,0,"",-1,15868008,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999763,0,1019.938,0,-3.52873E-06,0,4
22,-2.99023E-15,0,2.938792,2.538455,-5.980459E-15,-2.288818E-05,5.463495,5.733522,2.265549E-15,-2.498897E-05,.566538,3.14387,0,0,5.911819,11.13353,0,0,4.758772,8.031535,0,-5.493164E-05,4.869887,11.29308,0,0,0,0,0,0,0,0,"",-1,15868016,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00043,0,1019.938,4.590165E-11,-4.787715E-05,-5.493164E-05,4
23,-2.99023E-15,0,2.938792,2.538152,-5.980459E-15,0,4.938964,5.732996,2.265549E-15,-2.498897E-05,0,3.143776,0,0,5.911819,11.13354,0,0,4.408657,8.032015,0,0,4.869887,11.29522,0,0,0,0,0,0,0,0,"",-1,15868024,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00016,0,1019.938,0,-2.498897E-05,0,4
24,-2.99023E-15,0,2.751677,2.538152,-5.980459E-15,2.288818E-05,4.424803,5.732996,2.265549E-15,0,.9812726,3.143776,0,-3.433228E-05,5.538055,11.13354,0,0,4.158905,8.032015,0,0,5.067274,11.29522,0,0,0,0,0,0,0,0,"",-1,15868032,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.99973,0,1019.938,-1.371486E-11,2.288818E-05,-3.433228E-05,4
25,-2.99023E-15,0,3.095637,2.538152,-5.980459E-15,2.288818E-05,4.938964,5.732996,2.265549E-15,2.498897E-05,.566538,3.143776,0,3.433228E-05,6.756364,11.13354,0,0,4.408657,8.032015,0,5.493164E-05,5.067274,11.29522,0,0,0,0,0,0,0,0,"",-1,15868040,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999569,0,1019.938,7.459018E-11,4.787715E-05,8.926391E-05,4
26,-2.99023E-15,0,3.095637,2.538152,-5.980459E-15,0,4.938964,5.732996,2.265549E-15,0,.566538,3.143776,0,0,5.911819,11.13354,0,0,4.072251,8.032015,0,-5.493164E-05,4.869887,11.29522,0,0,0,0,0,0,0,0,"",-1,15868048,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10,0,1019.938,0,0,-5.493164E-05,4
27,-2.99023E-15,0,2.938792,2.537839,-5.980459E-15,2.288818E-05,4.938964,5.731878,2.265549E-15,-2.498897E-05,0,3.143687,0,0,5.911819,11.13399,0,-2.641691E-05,4.468915,8.031652,0,0,4.869887,11.29736,0,0,0,0,0,0,0,0,"",-1,15868056,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999924,0,1019.938,0,-2.85177E-05,0,4
28,-2.99023E-15,0,2.751677,2.537839,-5.980459E-15,0,5.0355,5.731878,2.265549E-15,-2.498897E-05,0,3.143687,0,0,5.538055,11.13399,0,0,4.408657,8.031652,0,0,4.869887,11.29736,0,0,0,0,0,0,0,0,"",-1,15868064,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00016,0,1019.938,0,-2.498897E-05,0,4
29,-2.99023E-15,0,2.938792,2.537839,-5.980459E-15,0,4.938964,5.731878,2.265549E-15,-2.498897E-05,.566538,3.143687,0,0,5.538055,11.13399,0,-2.641691E-05,4.408657,8.031652,0,0,4.869887,11.29736,0,0,0,0,0,0,0,0,"",-1,15868072,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00019,0,1019.938,0,-5.140588E-05,0,4
30,-2.99023E-15,0,2.938792,2.537839,-5.980459E-15,0,4.496756,5.731878,2.265549E-15,0,.566538,3.143687,0,0,5.911819,11.13399,0,0,4.758772,8.031652,0,0,5.067274,11.29736,0,0,0,0,0,0,0,0,"",-1,15868080,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10,0,1019.938,0,0,0,4
31,-2.99023E-15,0,2.938792,2.537413,-5.980459E-15,0,4.938964,5.730841,2.265549E-15,0,.566538,3.143595,0,6.866455E-05,6.756364,11.13408,0,2.641691E-05,4.408657,8.032078,0,0,4.869887,11.29945,0,0,0,0,0,0,0,0,"",-1,15868088,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-9.999968,3.867499E-11,1019.938,5.785395E-27,2.641691E-05,6.866455E-05,0
32,-2.99023E-15,0,2.938792,2.537413,-5.980459E-15,-2.288818E-05,4.938964,5.730841,2.265549E-15,0,.566538,3.143595,0,3.433228E-05,6.376179,11.13408,0,0,4.408657,8.032078,0,-5.493164E-05,4.702231,11.29945,0,0,0,0,0,0,0,0,"",-1,15868096,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00027,0,1019.938,8.228914E-12,-2.288818E-05,-2.059937E-05,4
33,-2.99023E-15,0,2.938792,2.537413,-5.980459E-15,0,5.463495,5.730841,2.265549E-15,-2.498897E-05,0,3.143595,0,0,6.376179,11.13408,0,-2.641691E-05,4.758772,8.032078,0,0,4.869887,11.29945,0,0,0,0,0,0,0,0,"",-1,15868104,-10,5.218935E-16,1019.938,0,-3.71491E-15,-2.99023E-15,4,-10.00019,0,1019.938,0,-5.140588E-05,0,4
