===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,-1.853943E-03,-1.853943E-03,.3439596,.2070911,-4.577637E-05,-2.288818E-05,2.596203,1.285069,-2.249008E-04,-2.249008E-04,0,.3521109,8.926392E-04,8.926392E-04,4.222728,2.352185,8.717582E-04,8.453412E-04,2.194194,1.57295,9.887696E-04,9.338379E-04,2.955909,2.015983,0,0,0,0,0,0,0,0,"",-1,18802952,-10.00093,3.236207E-04,1019.939,6.156014E-09,6.01081E-04,2.746582E-05,0,-10.00069,3.236125E-04,1019.939,5.878808E-09,5.975523E-04,-2.746582E-05,0
2,-1.853943E-03,-1.853943E-03,0,.2005174,-4.577637E-05,-4.577637E-05,2.596203,1.285069,-2.249008E-04,-2.249008E-04,.566538,.3521109,8.926392E-04,8.926392E-04,3.378182,2.352185,8.717582E-04,8.453412E-04,2.234457,1.57295,9.887696E-04,9.887696E-04,3.18809,2.015983,0,0,0,0,0,0,0,0,"",-1,18802960,-10.00093,3.236207E-04,1019.939,6.156014E-09,6.01081E-04,2.746582E-05,0,-10.00096,3.236212E-04,1019.939,5.70013E-09,5.746641E-04,2.746582E-05,0
3,-1.853943E-03,-1.853943E-03,.3439596,.2034957,-4.577637E-05,-2.288818E-05,2.596203,1.289488,-2.249008E-04,-2.249008E-04,.566538,.3522571,8.926392E-04,8.926392E-04,3.378182,2.358332,8.717582E-04,8.717582E-04,1.935097,1.576239,9.887696E-04,9.338379E-04,2.955909,2.021237,0,0,0,0,0,0,0,0,"",-1,18802968,-10.00093,3.236207E-04,1019.939,6.156014E-09,6.01081E-04,2.746582E-05,0,-10.00066,3.236119E-04,1019.939,6.309365E-09,6.239692E-04,-2.746582E-05,0
4,-1.853943E-03,-1.853943E-03,0,.197036,-4.577637E-05,-2.288818E-05,2.042682,1.289488,-2.249008E-04,-2.498897E-04,.566538,.3522571,8.926392E-04,9.269714E-04,4.222728,2.358332,8.717582E-04,8.453412E-04,2.234457,1.576239,9.887696E-04,9.887696E-04,3.18809,2.021237,0,0,0,0,0,0,0,0,"",-1,18802976,-10.00093,3.236207E-04,1019.939,6.156014E-09,6.01081E-04,2.746582E-05,0,-10.00085,3.236183E-04,1019.939,5.467695E-09,5.725633E-04,6.17981E-05,0
5,-1.853943E-03,-1.853943E-03,0,.1907815,-4.577637E-05,-4.577637E-05,2.042682,1.289488,-2.249008E-04,-2.249008E-04,.566538,.3522571,8.926392E-04,8.926392E-04,3.378182,2.358332,8.717582E-04,8.981751E-04,2.194194,1.576239,9.887696E-04,9.887696E-04,3.18809,2.021237,0,0,0,0,0,0,0,0,"",-1,18802984,-10.00093,3.236207E-04,1019.939,6.156014E-09,6.01081E-04,2.746582E-05,0,-10.00089,3.236201E-04,1019.939,6.611898E-09,6.27498E-04,2.746582E-05,0
6,-1.853943E-03,-1.888275E-03,.3439596,.1945221,-4.577637E-05,-6.866455E-05,2.596203,1.289488,-2.249008E-04,-2.249008E-04,.566538,.3522571,8.926392E-04,8.239746E-04,3.378182,2.358332,8.717582E-04,8.453412E-04,2.194194,1.576239,9.887696E-04,9.887696E-04,3.18809,2.021237,0,0,0,0,0,0,0,0,"",-1,18802992,-10.00093,3.236207E-04,1019.939,6.156014E-09,6.01081E-04,2.746582E-05,0,-10.00123,3.296215E-04,1019.939,5.300371E-09,5.517759E-04,-7.5531E-05,0
7,-1.853943E-03,-1.853943E-03,.3439596,.1979649,-4.577637E-05,-6.866455E-05,2.469482,1.292731,-2.249008E-04,-2.249008E-04,.566538,.353869,8.926392E-04,8.583069E-04,4.222728,2.365214,8.717582E-04,8.981751E-04,2.194194,1.579692,9.887696E-04,1.043701E-03,3.18809,2.026885,0,0,0,0,0,0,0,0,"",-1,18803000,-10.00093,3.236207E-04,1019.939,6.156014E-09,6.01081E-04,2.746582E-05,0,-10.00116,3.236282E-04,1019.939,6.615894E-09,6.046098E-04,4.806519E-05,0
8,-1.853943E-03,-1.853943E-03,0,.1916808,-4.577637E-05,-6.866455E-05,2.596203,1.292731,-2.249008E-04,-2.498897E-04,.566538,.353869,8.926392E-04,8.583069E-04,2.533637,2.365214,8.717582E-04,8.453412E-04,2.194194,1.579692,9.887696E-04,9.887696E-04,3.378182,2.026885,0,0,0,0,0,0,0,0,"",-1,18803008,-10.00093,3.236207E-04,1019.939,6.156014E-09,6.01081E-04,2.746582E-05,0,-10.00139,3.236345E-04,1019.939,4.318879E-09,5.26787E-04,-6.866455E-06,0
9,-1.853943E-03,-1.853943E-03,0,.1855962,-4.577637E-05,-6.866455E-05,2.469482,1.292731,-2.249008E-04,-2.249008E-04,.566538,.353869,8.926392E-04,9.269714E-04,4.222728,2.365214,8.717582E-04,8.453412E-04,2.234457,1.579692,9.887696E-04,9.887696E-04,2.955909,2.026885,0,0,0,0,0,0,0,0,"",-1,18803016,-10.00093,3.236207E-04,1019.939,6.156014E-09,6.01081E-04,2.746582E-05,0,-10.00123,3.236305E-04,1019.939,4.772648E-09,5.517759E-04,6.17981E-05,0
10,-1.853943E-03,-1.853943E-03,.3439596,.1897609,-4.577637E-05,-4.577637E-05,3.15435,1.292731,-2.249008E-04,-2.498897E-04,.566538,.353869,8.926392E-04,9.269714E-04,4.222728,2.365214,8.717582E-04,8.189243E-04,2.234457,1.579692,9.887696E-04,9.887696E-04,3.378182,2.026885,0,0,0,0,0,0,0,0,"",-1,18803024,-10.00093,3.236207E-04,1019.939,6.156014E-09,6.01081E-04,2.746582E-05,0,-10.00115,3.236276E-04,1019.939,4.246522E-09,5.232582E-04,6.17981E-05,0
