===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,90,90,3.62384,16.18691,90,90.00002,29.93015,30.51439,0,-4.997795E-05,16.33163,25.65129,0,0,4.702231,24.18584,0,0,5.13717,23.59809,0,0,4.645,30.00673,0,0,0,0,0,0,0,0,"",-1,172672,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8605,354.9454,0,89.99997,90,7
2,90,90,3.830172,16.18691,90,90.00002,29.93015,30.51439,0,0,16.33163,25.65129,0,3.433228E-05,4.222728,24.18584,0,2.641691E-05,5.13717,23.59809,0,0,4.869887,30.00673,0,0,0,0,0,0,0,0,"",-1,172680,1.911711E-13,674.8606,354.9453,0,90,90,7,-1.929266E-11,674.8606,354.945,145.1496,89.99994,-124.8504,7
3,90,90,3.62384,16.18691,90,90.00005,29.93015,30.51439,0,0,15.77175,25.65129,0,3.433228E-05,4.222728,24.18584,0,0,5.13717,23.59809,0,0,4.645,30.00673,0,0,0,0,0,0,0,0,"",-1,172688,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8606,354.9448,143.1301,89.99994,-126.8699,7
4,90,90,3.830172,16.18644,90,90.00002,29.93015,30.51719,0,2.498897E-05,16.1339,25.65123,0,-3.433228E-05,3.378182,24.18518,0,0,5.13717,23.59749,0,-5.493164E-05,4.44892,30.00594,0,0,0,0,0,0,0,0,"",-1,172696,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8606,354.9449,-118.2071,89.9999,-28.20711,7
5,90,90,3.830172,16.18644,90,90,29.93015,30.51719,0,-2.498897E-05,16.33163,25.65123,0,3.433228E-05,4.222728,24.18518,0,0,5.489546,23.59749,0,-5.493164E-05,4.44892,30.00594,0,0,0,0,0,0,0,0,"",-1,172704,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8605,354.9455,-39.50006,89.99997,50.49994,7
6,90,90,3.830172,16.18644,90,90.00002,29.93015,30.51719,0,-2.498897E-05,15.984,25.65123,0,3.433228E-05,4.222728,24.18518,0,0,5.13717,23.59749,0,0,4.44892,30.00594,0,0,0,0,0,0,0,0,"",-1,172712,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8606,354.9452,86.49844,89.99996,176.4984,7
7,90,90,3.490809,16.18644,90,90.00002,29.93015,30.51719,0,2.498897E-05,16.33163,25.65123,0,3.433228E-05,4.222728,24.18518,0,0,4.869887,23.59749,0,-5.493164E-05,4.44892,30.00594,0,0,0,0,0,0,0,0,"",-1,172720,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8606,354.9449,-156.72,89.99995,-66.71999,7
8,90,90,3.62384,16.18596,90,90.00002,29.93015,30.51997,0,0,15.77175,25.65117,0,3.433228E-05,4.222728,24.18453,0,2.641691E-05,5.489546,23.5969,0,-5.493164E-05,4.645,30.00515,0,0,0,0,0,0,0,0,"",-1,172728,1.911711E-13,674.8606,354.9453,0,90,90,7,-1.929266E-11,674.8606,354.945,-157.3251,89.99995,-67.32513,7
9,90,90,3.830172,16.18596,90,90.00002,29.93015,30.51997,0,0,15.77175,25.65117,0,0,3.378182,24.18453,0,0,4.796097,23.5969,0,0,4.869887,30.00515,0,0,0,0,0,0,0,0,"",-1,172736,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8606,354.9451,180,89.99998,-90,7
10,90,90,3.62384,16.18596,90,90.00002,29.93015,30.51997,0,2.498897E-05,16.1339,25.65117,0,0,3.378182,24.18453,0,0,5.188975,23.5969,0,0,4.869887,30.00515,0,0,0,0,0,0,0,0,"",-1,172744,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8606,354.9449,180,89.99995,-90,7
11,90,90,3.720492,16.18596,90,90,29.93015,30.51997,0,0,16.33163,25.65117,0,0,4.222728,24.18453,0,0,5.13717,23.5969,0,0,4.869887,30.00515,0,0,0,0,0,0,0,0,"",-1,172752,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8606,354.9453,0,90,90,7
12,90,90,3.62384,16.18548,90,90.00002,29.93015,30.52275,0,2.498897E-05,16.33163,25.65111,0,3.433228E-05,4.222728,24.18386,0,2.641691E-05,5.13717,23.5963,0,0,4.44892,30.00436,0,0,0,0,0,0,0,0,"",-1,172760,1.911711E-13,674.8606,354.9453,0,90,90,7,-1.929266E-11,674.8606,354.9449,155.1977,89.99992,-114.8023,7
13,90,90,3.490809,16.18548,90,89.99998,29.93015,30.52275,0,0,16.33163,25.65111,0,3.433228E-05,3.378182,24.18386,0,0,5.13717,23.5963,0,0,4.44892,30.00436,0,0,0,0,0,0,0,0,"",-1,172768,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8605,354.9456,56.30993,89.99996,146.3099,7
14,90,90,3.62384,16.18548,90,90,29.93015,30.52275,0,-2.498897E-05,16.1339,25.65111,0,0,3.378182,24.18386,0,0,5.13717,23.5963,0,0,4.869887,30.00436,0,0,0,0,0,0,0,0,"",-1,172776,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8605,354.9455,0,89.99998,90,7
15,90,90,3.490809,16.18548,90,90,29.93015,30.52275,0,-2.498897E-05,16.33163,25.65111,0,0,3.378182,24.18386,0,0,5.13717,23.5963,0,-5.493164E-05,4.44892,30.00436,0,0,0,0,0,0,0,0,"",-1,172784,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8605,354.9455,-65.53872,89.99994,24.46128,7
16,90,90,3.281166,16.185,90,90,29.93015,30.52553,0,0,16.1339,25.65106,0,-3.433228E-05,3.378182,24.18317,0,0,5.13717,23.5957,0,0,4.702231,30.00357,0,0,0,0,0,0,0,0,"",-1,172792,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8606,354.9453,-90,89.99997,5.854758E-09,7
17,90,90,3.720492,16.185,90,90.00002,29.93015,30.52553,0,-2.498897E-05,15.984,25.65106,0,-6.866455E-05,3.378182,24.18317,0,0,5.13717,23.5957,0,-5.493164E-05,4.44892,30.00357,0,0,0,0,0,0,0,0,"",-1,172800,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8606,354.9452,-89.02623,89.99988,.9737738,7
18,90,89.99997,3.830172,16.185,90,90,29.93015,30.52553,0,0,16.33163,25.65106,0,3.433228E-05,4.222728,24.18317,0,0,5.13717,23.5957,0,-1.098633E-04,4.44892,30.00357,0,0,0,0,0,0,0,0,"",-1,172808,1.911711E-13,674.8606,354.9453,0,90,90,7,4.04384E-04,674.8606,354.9453,-90,89.99992,-3.432961E-05,7
19,90,90,3.62384,16.185,90,90,29.93015,30.52553,0,-4.997795E-05,15.984,25.65106,0,-3.433228E-05,3.378182,24.18317,0,0,5.13717,23.5957,0,0,4.44892,30.00357,0,0,0,0,0,0,0,0,"",-1,172816,1.911711E-13,674.8606,354.9453,0,90,90,7,4.132193E-14,674.8605,354.9456,-34.48706,89.99994,55.51294,7
