===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,120,120,3.490809,7.057832,45,45,28.46255,30.75158,90,90.00006,10.80886,16.13861,0,0,4.222728,10.81357,0,0,5.13717,10.86699,0,0,4.869887,13.91964,0,0,0,0,0,0,0,0,"",-1,1118744,-242.162,419.4368,306.0853,180,45,-60,5,-242.1615,419.4368,306.085,180,44.99994,-60.00005,5
2,120,120,3.152442,7.057832,45,44.99993,28.45691,30.75158,90,90.00003,10.33835,16.13861,0,3.433228E-05,3.870194,10.81357,0,-2.641691E-05,4.796097,10.86699,0,0,5.291063,13.91964,0,0,0,0,0,0,0,0,"",-1,1118752,-242.162,419.4368,306.0853,180,45,-60,5,-242.1618,419.4368,306.0857,180,45.00006,-60.00006,1
3,120,120,3.490809,7.057832,45,44.99995,28.45691,30.75158,90,90.00001,10.33835,16.13861,0,3.433228E-05,4.222728,10.81357,0,0,5.13717,10.86699,0,0,5.067274,13.91964,0,0,0,0,0,0,0,0,"",-1,1118760,-242.162,419.4368,306.0853,180,45,-60,5,-242.1616,419.437,306.0856,180,45.00004,-60.0001,5
4,120,120,3.152442,7.057832,45,45,28.94893,30.75158,90,90.00003,10.80886,16.13861,0,-3.433228E-05,3.870194,10.81357,0,0,4.869887,10.86699,0,5.493164E-05,5.067274,13.91964,0,0,0,0,0,0,0,0,"",-1,1118768,-242.162,419.4368,306.0853,180,45,-60,5,-242.1618,419.4367,306.0851,180,44.99997,-60.00004,5
5,120,120,3.490809,7.057649,45,44.99998,28.46255,30.75104,90,90.00001,10.80886,16.13774,0,-3.433228E-05,3.870194,10.81341,0,0,5.13717,10.86691,0,5.493164E-05,5.067274,13.91955,0,0,0,0,0,0,0,0,"",-1,1118776,-242.162,419.4368,306.0853,180,45,-60,5,-242.1619,419.4368,306.0854,180,45.00002,-60.00004,5
6,120,120,3.490809,7.057649,45,44.99998,28.46255,30.75104,90,90.00006,10.80886,16.13774,0,0,4.222728,10.81341,0,0,4.869887,10.86691,0,0,5.489546,13.91955,0,0,0,0,0,0,0,0,"",-1,1118784,-242.162,419.4368,306.0853,180,45,-60,5,-242.1618,419.4366,306.0852,180,44.99997,-60.00001,5
7,120,120,3.152442,7.057649,45,44.99998,28.45691,30.75104,90,90.00003,11.28819,16.13774,0,0,4.222728,10.81341,0,0,5.188975,10.86691,0,-5.493164E-05,5.291063,13.91955,0,0,0,0,0,0,0,0,"",-1,1118792,-242.162,419.4368,306.0853,180,45,-60,5,-242.1618,419.4367,306.0853,-179.9999,44.99999,-59.99994,5
8,120,120,3.490809,7.057649,45,44.99998,28.45691,30.75104,90,90.00001,10.80886,16.13774,0,3.433228E-05,3.870194,10.81341,0,0,5.13717,10.86691,0,0,5.291063,13.91955,0,0,0,0,0,0,0,0,"",-1,1118800,-242.162,419.4368,306.0853,180,45,-60,5,-242.1619,419.4368,306.0854,180,45.00002,-60.00006,5
9,120,120,3.281166,7.057467,45,45.00002,28.46255,30.75025,90,90.00001,10.40026,16.1376,0,0,3.045052,10.81324,0,0,5.13717,10.86684,0,5.493164E-05,4.869887,13.91947,0,0,0,0,0,0,0,0,"",-1,1118808,-242.162,419.4368,306.0853,180,45,-60,5,-242.1618,419.4368,306.0851,179.9999,44.99997,-60.00009,5
10,120,120,3.490809,7.057467,45,45.00005,28.45691,30.75025,90,89.99995,10.33835,16.1376,0,6.866455E-05,4.222728,10.81324,0,-2.641691E-05,5.13717,10.86684,0,0,5.067274,13.91947,0,0,0,0,0,0,0,0,"",-1,1118816,-242.162,419.4368,306.0853,180,45,-60,5,-242.162,419.437,306.0851,179.9999,45.00002,-60.00011,1
